nome_municipio,setor_cnae,nome_profissao,total_trabalhadores_nao_clt,salario_medio
Itapeva,,Professor De Geografia Do Ensino Fundamental,21,3083.51
Itu,,Técnico Em Administração,21,3738.22
Boituva,,Professores De Cursos Livres,21,2539.19
Itu,,Vendedor Em Domicílio,21,1626.59
Piedade,,Monitor De Transporte Escolar,21,1206.78
Itupeva,,Armazenista,21,1736.8
Itapeva,,Médico Clínico,20,12658.37
Itapeva,,Professor De Língua Estrangeira Moderna Do Ensino Fundamental,20,3042.28
Araçariguama,,Inspetor De Alunos De Escola Pública,20,1473.54
Itupeva,,Assistente De Vendas,20,1427.75
Americana,,Pedagogo,20,7094.66
Ibiúna,,Assistente Social,20,3689.66
Araçatuba,,Técnico De Desporto Individual E Coletivo (Exceto Futebol),20,3467.08
Americana,,Técnico Em Segurança Do Trabalho,20,3146.46
Araçoiaba da Serra,,Médico Clínico,20,8171.39
Americana,,Armazenista,20,1456.94
Cabreúva,,Assistente Administrativo,20,1824.56
Cabreúva,,Eletricista De Manutenção Eletroeletrônica,20,1356.12
Macatuba,,Trabalhador Da Cultura De Cana-De-Açúcar,20,1669.01
Cerquilho,,"Operador De Máquinas Fixas, Em Geral",19,1560.04
Americana,,Ajudante De Confecção,19,1079.62
Boituva,,Atendente De Lojas E Mercados,19,1192.94
Itapeva,,Auxiliar Em Saúde Bucal,19,2064.62
Americana,,Leiturista,19,3508.19
Itu,,Armazenista,19,1066.78
Araçoiaba da Serra,,Professor De Língua Portuguesa Do Ensino Fundamental,19,3017.04
Itapeva,,Professor De História Do Ensino Fundamental,19,3312.25
Cerquilho,,Cuidador Em Saúde,19,1703.74
Ibiúna,,Operador De Pá Carregadeira,19,3674.33
Araçatuba,,Frentista,19,1456.89
Itu,,Instrutor De Aprendizagem E Treinamento Industrial,19,3794.2
Pindamonhangaba,,Açougueiro,19,1504.98
Boituva,,Agente De Trânsito,19,4241.54
Itapeva,,Psicólogo Clínico,19,2918.67
Araçatuba,,Leiturista,19,2980.39
Boituva,,Operador De Caixa,19,1336.09
Araçatuba,,Farmacêutico,19,3908.03
Itapetininga,,Tratorista Agrícola,19,1496.64
Araçoiaba da Serra,,Agente Comunitário De Saúde,19,1871.54
Cabreúva,,"Embalador, A Mão",19,889.22
Araçatuba,,Técnico Mecânico Na Manutenção De Ferramentas,18,5540.99
Araçariguama,,Professor De Língua Portuguesa Do Ensino Fundamental,18,4413.26
Itapetininga,,Médico Generalista,18,10527.42
Araçoiaba da Serra,,Coordenador Pedagógico,18,3893.74
Itupeva,,Auxiliar De Logistica,18,976.75
Cerquilho,,Operador De Máquina De Dobrar Chapas,18,1998.27
Ibiúna,,Diretor Administrativo,18,6945.06
Itupeva,,Cirurgião Dentista - Clínico Geral,18,9647.66
Porto Feliz,,Operador De Máquinas-Ferramenta Convencionais,18,1383.49
Pindamonhangaba,,Eletricista De Instalações,18,2600.27
Macatuba,,Faxineiro,18,1641.51
Araçariguama,,Guarda-Civil Municipal,18,3672.33
Itapetininga,,Médico Da Estratégia De Saúde Da Família,18,9874.11
Americana,,"Costureiro, A  Máquina  Na Confecção Em Série",18,1161.94
Araçoiaba da Serra,,Professor De Matemática Do Ensino Fundamental,18,3007.49
Pindamonhangaba,,Operador De Laminador,18,1745.55
Boituva,,Operador De Máquina De Abrir Valas,18,3619.47
Itupeva,,Salva-Vidas,18,1501.4
Araçatuba,,Professor De Nível Médio No Ensino Profissionalizante,18,5784.43
Cabreúva,,Operador De Empilhadeira,18,2409.95
Boituva,,Professor De Língua Estrangeira Moderna Do Ensino Fundamental,18,4980.18
Itu,,Varredor De Rua,18,2320.87
Americana,,Costureiro Na Confecção Em Série,18,1529.57
Americana,,Revisor De Tecidos Acabados,18,915.5
Americana,,Motorista De Carro De Passeio,18,3509.05
Itupeva,,Técnico De Enfermagem,18,3021.84
Araçoiaba da Serra,,Professor De Educação Física Do Ensino Fundamental,18,3095.37
Boituva,,Assistente Social,18,4410.39
Piedade,,Repositor De Mercadorias,17,758.39
