ano,sigla_uf,id_municipio,quantidade_vinculos_ativos,quantidade_vinculos_clt,quantidade_vinculos_estatutarios,natureza_estabelecimento,natureza_juridica,tamanho_estabelecimento,tipo_estabelecimento,indicador_cei_vinculado,indicador_pat,indicador_simples,indicador_rais_negativa,indicador_atividade_ano,cnae_1,cnae_2,cnae_2_subclasse,subsetor_ibge,subatividade_ibge,cep,bairros_sp,distritos_sp,bairros_fortaleza,bairros_rj,regioes_administrativas_df,nome_municipio
2021,SP,3537800,0,0,0,,4081,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4120,1,2,0,0,0,0,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3522307,0,0,0,,4022,1,1,0,0,1,1,1,01210,01211,0121101,25,,18213640,9999,9999,,,,Itapetininga
2021,SP,3522307,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18206655,9999,9999,,,,Itapetininga
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4081,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4120,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
2021,SP,3537800,0,0,0,,4081,1,1,0,0,0,1,1,01210,01211,0121101,25,,18170000,9999,9999,,,,Piedade
