nome_municipio,setor_cnae,nome_profissao,total_trabalhadores_clt,salario_medio
Americana,,Farmacêutico,159,4403.92
Itu,,Armazenista,159,1796.53
Itapeva,,Repositor De Mercadorias,159,1369.66
Cabreúva,,Operador Polivalente Da Indústria Têxtil,159,1904.32
Itapeva,,Auxiliar De Enfermagem,158,1771.09
Pindamonhangaba,,Caldeireiro (Chapas De Ferro E Aço),158,3860.56
Itu,,"Embalador, A Mão",158,1656.67
Piedade,,Trabalhador Na Olericultura (Legumes),158,1632.33
Pindamonhangaba,,Técnico Em Manutenção De Máquinas,157,7554.85
Boituva,,Operador De Empilhadeira,157,2479.21
Itapetininga,,Montador De Móveis E Artefatos De Madeira,157,1598.12
Itapeva,,Gerente Administrativo,156,3920.37
Itu,,Vendedor Em Comércio Atacadista,155,2614.01
Araçatuba,,Operador De Máquinas-Ferramenta Convencionais,154,2963.38
Itupeva,,Técnico De Garantia Da Qualidade,154,4764.28
Piedade,,Faxineiro,154,1428.04
Pindamonhangaba,,Motorista De Carro De Passeio,153,3458.42
