nome_municipio,nome_profissao,total_trabalhadores,salario_medio
Americana,Auxiliar De Enfermagem,324,2714.85
Itu,Técnico De Enfermagem,323,2541.99
Piedade,Auxiliar De Escritório,322,1639.63
Araçatuba,Supervisor Administrativo,318,3602.98
Araçatuba,Armazenista,317,1787.17
Itu,Motorista De Ônibus Rodoviário,317,2850.4
Araçatuba,Vigia,316,1954.64
Americana,Desenvolvedor De Sistemas De Tecnologia Da Informação (Técnico),315,5792.42
Americana,Revisor De Tecidos Acabados,314,1729.34
Itu,Auxiliar De Contabilidade,313,2854.24
Pindamonhangaba,Operador De Acabamento De Peças Fundidas,312,4726.43
Americana,Professor De Ensino Superior Na Área De Prática De Ensino,311,3099.57
Cerquilho,Costureiro Na Confecção Em Série,309,1513.91
Pindamonhangaba,Frentista,309,2073.73
Itapetininga,Atendente De Lanchonete,308,1495.07
Americana,Motorista De Furgão Ou Veículo Similar,306,2448.73
Americana,Vendedor Em Comércio Atacadista,306,3510.17
Araçatuba,Frentista,306,1890.03
Americana,Trabalhador Da Manutenção De Edificações,306,1886.57
Piedade,Operador De Linha De Montagem (Aparelhos Eletrônicos),306,2235.52
Boituva,Soldador,304,3232.44
Porto Feliz,Motorista De Caminhão (Rotas Regionais E Internacionais),303,2295.91
Ibiúna,Trabalhador Na Produção De Mudas E Sementes,301,1281.49
Americana,Promotor De Vendas,300,1270.09
Pindamonhangaba,Pedreiro,299,2096.77
Araçatuba,Soldador,299,2703.94
Itapeva,Auxiliar De Desenvolvimento Infantil,299,3655.36
Americana,Guarda-Civil Municipal,297,8490.24
Cabreúva,"Mecânico De Manutenção De Máquinas, Em Geral",295,5721.3
Itu,Açougueiro,295,2124.42
Araçariguama,Assistente Administrativo,295,2737.11
Pindamonhangaba,Almoxarife,295,2805.52
Americana,Gerente De Loja E Supermercado,294,3975.37
Cerquilho,"Embalador, A Mão",294,1340.15
Cabreúva,Assistente Administrativo,291,2595.35
Itupeva,Auxiliar De Desenvolvimento Infantil,290,2797.56
Americana,"Costureiro, A  Máquina  Na Confecção Em Série",290,1578.19
Itu,Soldador,290,3261.25
Itu,Gerente Administrativo,289,5385.54
Pindamonhangaba,Auxiliar De Enfermagem,289,2194.06
Araçatuba,Promotor De Vendas Especializado,289,1801.78
Araçatuba,Recepcionista De Consultório Médico Ou Dentário,288,1474.47
Itapetininga,Pedreiro,288,1827.51
Itu,Contador,286,5849.06
Americana,Analista De Desenvolvimento De Sistemas,286,6433.16
Itu,Frentista,285,2047.67
Itupeva,Montador De Equipamentos Eletrônicos,282,1848.02
Cabreúva,Motorista De Caminhão (Rotas Regionais E Internacionais),281,2417.44
Itu,Administrador,281,4645.32
Americana,Armazenista,281,2354.08
Itu,"Operador De Produção (Química, Petroquímica E Afins)",280,2765.91
Araçariguama,Socorrista (Exceto Médicos E Enfermeiros),280,985.65
Americana,Moldador De Plástico Por Injeção,280,2502.53
Americana,Gerente Comercial,280,5284.06
Itapeva,Professor De Nível Médio No Ensino Fundamental,278,3458.8
Americana,Motofretista,277,2044.69
Cerquilho,Professor De Nível Superior Do Ensino Fundamental (Primeira A Quarta Série),275,3347.67
Itu,Pedreiro,275,2479.51
Cabreúva,"Operador De Máquinas Fixas, Em Geral",275,2754.76
Araçatuba,Escriturário De Banco,274,8789.29
Ibiúna,Assistente Administrativo,274,4315.16
Itu,Moldador De Plástico Por Injeção,273,2700.7
Porto Feliz,Trabalhador Agropecuário Em Geral,273,1616.89
Americana,Serralheiro,272,2450.11
Itu,"Mecânico De Manutenção De Máquinas, Em Geral",272,3536.53
Boituva,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),272,4009.24
Americana,Escriturário De Banco,272,8557.26
Americana,Carregador (Veículos De Transportes Terrestres),271,1843.88
Ibiúna,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),271,3754.25
Itapetininga,Gerente Administrativo,271,4594.53
Cabreúva,Almoxarife,270,2586.91
Boituva,Almoxarife,269,2306.51
Americana,Marceneiro,268,2485.77
Araçatuba,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,267,1700.73
Porto Feliz,Almoxarife,266,2165.58
Itapeva,"Recepcionista, Em Geral",266,1463.29
Cerquilho,Faxineiro,265,1268.37
Itapeva,Servente De Obras,265,1518.2
Itu,Marceneiro,265,2084.12
Araçatuba,Auxiliar Geral De Conservação De Vias Permanentes (Exceto Trilhos),264,1648.8
Araçatuba,Vendedor Em Comércio Atacadista,264,2772.71
Araçatuba,"Operador De Máquinas De Fabricação De Doces, Salgados E Massas Alimentícias",264,3039.72
Americana,Operador De Abertura (Fiação),264,1839.03
Itu,Ceramista,261,1812.73
Cerquilho,Assistente Administrativo,261,2194.73
Boituva,Auxiliar De Desenvolvimento Infantil,260,1599.53
Porto Feliz,Operador De Máquinas Operatrizes,260,2678.96
Araçatuba,Assistente De Vendas,259,2028.74
Macatuba,Motorista De Caminhão (Rotas Regionais E Internacionais),258,3176.9
Americana,Vigia,257,2126.47
Itapetininga,Professor De Nível Superior Na Educação Infantil (Quatro A Seis Anos),256,3304.59
Porto Feliz,Operador De Caixa,255,1882.39
Boituva,Inspetor De Qualidade,255,2435.52
Cabreúva,Vendedor De Comércio Varejista,255,2315.74
Americana,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),253,5871.44
Piedade,Alimentador De Linha De Produção,250,1994.27
Americana,Professor De Nível Superior Do Ensino Fundamental (Primeira A Quarta Série),250,5273.11
Ibiúna,"Trabalhador Na Olericultura (Talos, Folhas E Flores)",249,1310.68
Araçatuba,Operador De Empilhadeira,248,2401.98
Americana,Analista De Recursos Humanos,248,3793.5
